producto,texto_feedback,categoria,severidad,producto_afectado,justificacion
Base Cama Sion Doble,"Buen día. La base cama que me entregaron ayer huele muy fuerte a pegante/laca, me dio dolor de cabeza y tuve que sacarla al balcón. ¿Es normal? ¿Cuánto dura ese olor? ¿No es tóxico para un bebé?",queja,4,Base Cama Sion Doble,"El cliente reporta un fuerte olor químico que le causó dolor de cabeza, lo que indica un posible defecto de fabricación o falta de ventilación del producto, afectando la experiencia y la seguridad."
Mesa Comedor Sion Rectangular,"Pésima experiencia. La mesa llegó rayada, pedí el cambio y la segunda llegó con el mismo tipo de rayón en la cubierta. Claramente es un problema de empaque o de bodega. Dos meses perdidos en este proceso.",queja,4,Mesa Comedor Sion Rectangular,"El cliente reporta un defecto recurrente en el producto recibido (rayones) y una mala experiencia con el proceso de cambio, lo que constituye una queja por calidad y servicio."
Puff Olive Arena Calabria Marfil,"El puff está bien. La compra fue fácil. Me hubiera gustado más información sobre cómo limpiar la tela Calabria, no venía ninguna guía de cuidado.",feature_request,2,Puff Olive Arena Calabria Marfil,"El cliente solicita explícitamente más información sobre el cuidado del producto, lo que constituye una solicitud de mejora."
Silla De Terraza Olive Negro,Pedí 6 sillas negras de terraza para mi restaurante y me llegaron 4 negras y 2 crema. Necesito el cambio urgente porque inauguro el sábado. Además quisiera saber si manejan precios al por mayor para negocios.,queja,4,Silla De Terraza Olive Negro,"El cliente reporta un error en la entrega (productos incorrectos) que afecta su negocio con urgencia, lo cual es una queja de servicio/logística."
Silla Reclinable Coral Houston beige,"Cómoda la silla, mi esposo la usa todos los días. Le quito una estrella porque pesa muchísimo y entre dos personas apenas pudimos moverla para limpiar debajo.",queja,2,Silla Reclinable Coral Houston beige,"El cliente expresa una queja sobre el peso excesivo del producto, lo que dificulta su manipulación, aunque no es un defecto crítico."
Cama Nicho Jenny Sencilla Blanco Frente Nuez,Sugerencia: las camas nicho para niños deberían incluir opción de barandas de seguridad y cajones inferiores de almacenamiento. Tocó comprar las barandas por aparte en otra tienda y no combinan.,feature_request,3,Cama Nicho Jenny Sencilla Blanco Frente Nuez,"El cliente sugiere una mejora de producto (incluir barandas y cajones como opción), lo que corresponde a una solicitud de funcionalidad adicional."
Combo Hogar Mérida Arena Ivory,"Hola, me cobraron dos veces el combo Mérida en la tarjeta. En el extracto aparecen dos cargos de $4.990.000 del mismo día. Solo hice una compra. Necesito la reversión de uno de los cargos urgente, es muchísima plata.",queja,5,Combo Hogar Mérida Arena Ivory,"El cliente reporta un cobro duplicado, lo cual es un problema grave de servicio/facturación que requiere acción inmediata."
Silla De Terraza Olive Ivory,"Compré las Olive ivory para el balcón y quedaron espectaculares. Livianas, fáciles de limpiar y muy cómodas sin cojín. La mejor compra del año para mi apartamento.",elogio,1,Silla De Terraza Olive Ivory,El feedback expresa satisfacción y elogia el producto sin reportar defectos ni solicitar cambios.
Mesa De Noche Sion Arena,"Decepcionada. La mesa llegó a los 25 días, nadie respondía en servicio al cliente y cuando llegó el cajón venía descuadrado. El producto final es bonito pero el proceso fue un dolor de cabeza completo.",queja,4,Mesa De Noche Sion Arena,"El feedback combina demora en entrega, falta de respuesta en servicio al cliente y defecto en el producto (cajón descuadrado), lo que indica una mala experiencia de servicio y logística."
Sofá Modular Mini Santorini Verdi Gris,Quiero comprar un módulo adicional para mi Santorini gris pero en la página solo venden el set completo. ¿Venden módulos individuales? Sería muy útil que en la web se pudieran armar configuraciones personalizadas módulo por módulo.,feature_request,3,Sofá Modular Mini Santorini Verdi Gris,El cliente solicita una mejora en la oferta de productos (módulos individuales) y en la funcionalidad de la web para personalizar configuraciones.
Cuna Evolutiva Rory Arena,"Bella la cuna y excelente calidad. Cuatro estrellas porque el manual de conversión a cama junior es confuso, tuvimos que buscar un video en YouTube de otra persona para entenderlo.",queja,2,Cuna Evolutiva Rory Arena,"El cliente expresa insatisfacción con la claridad del manual de instrucciones, lo que afecta la experiencia de uso del producto."
Mueble Auxiliar Sion Arena,Todo excelente con el mueble. Una idea: un programa de recompra o descuento por traer el mueble viejo. Tengo muebles que quiero renovar y no sé qué hacer con los antiguos. Iría con su discurso de sostenibilidad.,feature_request,2,Mueble Auxiliar Sion Arena,"El cliente sugiere una nueva funcionalidad (programa de recompra) alineada con sostenibilidad, sin reportar defectos ni quejas."
Sofa 2 Ptos Macarena Negro Idilio Crudo,"Señores Only Home, compré el sofá en la tienda física de la 140 y me dijeron que la entrega era en 5 días. Van 12 días. En la tienda me dicen que llame a la línea, en la línea que escriba al WhatsApp y aquí nadie contesta. ¿Quién responde?",queja,4,Logística / Servicio,"El cliente reporta un retraso significativo en la entrega (12 días vs 5 prometidos) y falta de respuesta en todos los canales de atención, lo que constituye una queja por mala experiencia de servicio y logística."
Cama Mini Palermo Doble Roble Santana,"La cama Palermo en roble Santana superó las expectativas. Sólida, sin chirridos, y el tono de la madera es cálido y elegante. El armado tomó 40 minutos y quedó perfecta.",elogio,1,Cama Mini Palermo Doble Roble Santana,El cliente expresa satisfacción y elogia la calidad y apariencia del producto.
Silla Auxiliar Olive Calabria Marfil,"Buena compra. La silla es más bonita en persona que en fotos. Sugerencia: la lista de deseos de la web no se sincroniza entre el celular y el computador, perdí mi selección dos veces.",feature_request,3,Plataforma web,"El cliente reporta un problema de sincronización de la lista de deseos, lo cual es una solicitud de mejora técnica en la plataforma web."
Mesa De Terraza Olive Verde,"La mesa de terraza llegó con el vidrio/superficie flojo, se mueve al apoyar cualquier cosa. Revisé y parece que faltan dos soportes de caucho. ¿Me los pueden enviar o debo iniciar proceso de garantía? Pedido #OH-46102.",queja,4,Mesa De Terraza Olive Verde,"El cliente reporta un defecto en el producto recibido (falta de soportes) que afecta su funcionalidad, lo que constituye una queja por mala calidad o entrega incompleta."
Combo Hogar Mérida Arena Ivory,"Compramos el combo Mérida para estrenar apartamento y fue la mejor decisión: todo combina, llegó en una sola entrega y el armado gratis nos ahorró horas. Gran relación calidad-precio comprando en combo.",elogio,1,Combo Hogar Mérida Arena Ivory,"El feedback es completamente positivo, destacando la calidad, entrega y servicio del producto."
Silla De Comedor Emilia Avellana Veracruz Crema,"Las sillas llegaron bien. Comentario sobre la web: el comparador de productos es confuso y no muestra las medidas lado a lado, que es justo lo que uno quiere comparar en sillas y mesas.",feature_request,3,Plataforma web,"El cliente solicita una mejora en el comparador de productos para mostrar medidas lado a lado, lo cual es una sugerencia de funcionalidad."
Silla Reclinable Coral Houston beige,"Hola, compré la silla reclinable hace 8 días y hoy la veo con 10% adicional de descuento en la página. ¿Aplican ajuste de precio retroactivo? Me parece injusto, si hubiera esperado me ahorraba más de 300 mil pesos.",queja,3,Silla Reclinable Coral Houston beige,"El cliente expresa insatisfacción por la falta de ajuste de precio tras una reducción, lo que refleja una mala experiencia con la política de precios."
Sofá 3 Ptos Olive Calabria Marfil,Experiencia 10/10. Desde la asesoría por WhatsApp hasta el armado todo fue impecable. Se nota el orgullo de ser fabricantes. El sofá Olive es el protagonista de mi sala. Seguiré comprando con ustedes.,elogio,1,Sofá 3 Ptos Olive Calabria Marfil,"El feedback expresa una experiencia muy positiva y satisfacción con el producto y servicio, sin mencionar ningún problema o sugerencia de mejora."
Sofá Modular Mini Santorini Verdi Ivory,"Hola, compré el sofá modular Santorini hace 3 semanas y todavía no me llega. En la página decía entrega de 8 a 10 días hábiles. Nadie me responde el estado del pedido #OH-45821. Necesito una respuesta hoy por favor.",queja,4,Logística / Servicio,"El cliente reporta un retraso significativo en la entrega y falta de respuesta sobre el estado del pedido, lo que constituye una queja por mala experiencia logística y de servicio."
Silla De Terraza Olive Verde,"Hermosas las sillas de la colección Olive, el color verde es idéntico al de las fotos. Llegaron antes de lo prometido y muy bien empacadas. Ya pedí la mesa de terraza para completar el set.",elogio,1,Silla De Terraza Olive Verde,"El cliente expresa satisfacción con el producto, la entrega y el empaque, sin mencionar problemas."
Cama Mini Palermo Doble Roble Santana,"La cama es preciosa y el armado gratis fue rapidísimo, los técnicos muy amables. Solo mejoraría que avisen la franja horaria de entrega con más anticipación.",elogio,1,Cama Mini Palermo Doble Roble Santana,"El feedback es mayoritariamente positivo, destacando la calidad del producto y el servicio de armado."
Sofacama Multifuncional Houston Trigo,El sofacama llegó con una pata rota y la tela del asiento tiene una mancha. Pagué casi 2 millones y medio. Exijo cambio inmediato o devolución del dinero. Adjunto fotos. Pedido #OH-45610.,queja,5,Sofacama Multifuncional Houston Trigo,"El cliente reporta un producto dañado (pata rota y mancha) y exige cambio o reembolso, lo que constituye una queja de alta severidad por defecto físico y posible impacto económico."
Mesa De Noche Sion Arena,"Linda mesa de noche, buen acabado de la madera. Le quito una estrella porque el cajón quedó un poco duro al deslizar, toca empujarlo con fuerza.",queja,2,Mesa De Noche Sion Arena,"El cliente reporta un defecto funcional leve en el producto (cajón duro), lo que constituye una queja sobre la calidad del mueble."
Silla De Comedor Emilia Avellana Veracruz Crema,Las sillas están bien pero me gustaría que ofrecieran más opciones de tela. Solo había crema y mi comedor es oscuro. Sería genial poder personalizar el tapizado al hacer el pedido.,feature_request,2,Silla De Comedor Emilia Avellana Veracruz Crema,"El cliente solicita explícitamente más opciones de tela y personalización del tapizado, lo cual es una sugerencia de mejora del producto."
Combo Hogar Mérida Arena Ivory,Intenté pagar el combo del mes con PSE tres veces y la página me saca error al final del checkout. El carrito se vacía y toca empezar de cero. Ya lo intenté en celular y computador. ¿Me pueden ayudar? No quiero perder el descuento.,bug,4,Plataforma web,"Error recurrente en el checkout de PSE que impide completar la compra, afectando la experiencia del usuario y posible pérdida de descuento."
Silla Reclinable Coral Houston beige,"La silla reclinable es lo máximo, súper cómoda para teletrabajar y ver TV. El mecanismo reclinable se siente firme y de calidad. Vale cada peso.",elogio,1,Silla Reclinable Coral Houston beige,"El cliente expresa satisfacción total con el producto, destacando comodidad y calidad, sin mencionar problemas."
Cuna Evolutiva Rory Arena,"La cuna evolutiva es espectacular, se nota que son fabricantes porque la madera es de excelente calidad. Me encantó que usan maderas cultivadas. Ya la recomendé a dos amigas embarazadas.",elogio,1,Cuna Evolutiva Rory Arena,"El cliente expresa satisfacción y recomienda el producto, lo que corresponde a un feedback positivo."
Sofá Modular Mini Santorini Verdi Gris,Buenas tardes. En su página dice cobertura de entrega en rutas seleccionadas pero al poner mi dirección en Cartagena no me deja finalizar la compra. ¿Hacen envíos a la costa? ¿Hay algún costo adicional? Gracias.,queja,3,Logística / Servicio,"El cliente reporta un problema con la logística de envío, específicamente la imposibilidad de completar la compra por restricciones de cobertura, lo que afecta la experiencia de servicio."
Puff Olive Arena Calabria Marfil,El puff es bonito pero me pareció pequeño para el precio. En las fotos se ve más grande. Deberían poner una foto con una persona al lado para tener referencia del tamaño real.,feature_request,2,Puff Olive Arena Calabria Marfil,"El cliente sugiere agregar fotos con personas para mejorar la referencia de tamaño, lo cual es una solicitud de mejora."
Base Cama Sion Doble,"Todo bien con la compra, pero sugiero que implementen un rastreo del pedido en línea. Tener que escribir por WhatsApp cada vez para saber dónde va el envío es desgastante.",feature_request,3,Logística / Servicio,"El cliente solicita una mejora en el seguimiento de envíos, lo cual es una sugerencia de funcionalidad."
Cama Nicho Jenny Sencilla Blanco Frente Nuez,"La cama de mi hija llegó incompleta, faltan los largueros y los tornillos del frente nuez. Los técnicos de armado vinieron y no pudieron hacer nada. Llevo 5 días esperando las piezas y nadie da razón. Pedido #OH-44987.",queja,5,Cama Nicho Jenny Sencilla Blanco Frente Nuez,"El cliente reporta un producto incompleto y falta de respuesta del servicio postventa, lo que constituye una queja de alta severidad."
Mesa Comedor Sion Rectangular,"Excelente mesa, robusta y elegante. El servicio de armado gratis es un plus enorme. Los muchachos dejaron todo limpio y se llevaron el empaque.",elogio,1,Mesa Comedor Sion Rectangular,"El feedback es claramente positivo, destacando la calidad del producto y el servicio de armado."
Sofá 3 Ptos Olive Calabria Marfil,"El sofá es lindo pero la entrega se demoró 18 días y la comunicación fue casi nula. Solo me enteraba de algo cuando yo escribía. El producto bien, la logística mal.",queja,4,Logística / Servicio,"El cliente expresa insatisfacción con la demora en la entrega y la falta de comunicación proactiva, lo cual es una queja sobre el servicio logístico."
Silla De Terraza Olive Terracota,"Quiero hacer válida la garantía. Compré 4 sillas de terraza hace 2 meses y a una se le descascaró la pintura con la lluvia. Si son para terraza deberían resistir la intemperie, ¿no? ¿Cómo es el proceso del manual de garantía?",queja,4,Silla De Terraza Olive Terracota,"El cliente reporta un defecto en el producto (pintura descascarada) que afecta su funcionalidad esperada, lo que constituye una queja sobre la calidad del producto."
Mesa Centro Sion Cuadrada Arena,"Buena mesa de centro, combina con todo. El único detalle es que llegó con un golpecito en una esquina, nada grave pero para el precio uno espera perfección.",queja,3,Mesa Centro Sion Cuadrada Arena,"El cliente reporta un daño leve en el producto recibido, lo que constituye una queja sobre la calidad del envío o del producto."
Silla Auxiliar Olive Calabria Marfil,"Me encantaría que tuvieran realidad aumentada en la página para ver cómo queda el mueble en mi sala antes de comprar, como hacen otras tiendas. Estuve a punto de no comprar por la duda del tamaño.",feature_request,3,Plataforma web,"El cliente solicita una mejora en la plataforma web (realidad aumentada) para visualizar productos, lo cual es una solicitud de funcionalidad."
Combo Hogar Mérida Arena Ivory,"Compré el combo del mes y me llegaron el sofá y la mesa, pero faltó el puff. En la factura aparece todo. Llevo una semana escribiendo y me pasan de un asesor a otro sin solución. Muy mal servicio postventa.",queja,4,Logística / Servicio,"El cliente reporta una entrega incompleta (falta el puff) y una mala experiencia con el servicio postventa, con transferencias entre asesores sin solución."
Sofá Modular Mini Santorini Verdi Ivory,"El modular Santorini transformó mi apartamento. Lo mejor es poder reorganizar los módulos según la ocasión. La tela ivory es delicada eso sí, recomiendo el protector de telas.",elogio,1,Sofá Modular Mini Santorini Verdi Ivory,"El cliente expresa satisfacción y destaca aspectos positivos del producto, sin reportar defectos ni solicitar cambios."
Mesa De Terraza Olive Verde,Buena experiencia en general. La mesa llegó bien y a tiempo. Le pongo 8 porque el empaque traía demasiado plástico para una marca que se dice sostenible.,queja,2,Mesa De Terraza Olive Verde,"El cliente expresa una queja sobre el exceso de plástico en el empaque, contradiciendo la imagen sostenible de la marca."
Silla Reclinable Coral Houston beige,Después de un mes de uso el mecanismo reclinable empezó a sonar y se queda trabado a mitad de camino. Necesito visita técnica por garantía. ¿Tiene costo el desplazamiento? Pedido #OH-43215.,queja,4,Silla Reclinable Coral Houston beige,"El cliente reporta un defecto funcional del producto que requiere visita técnica por garantía, lo que indica una mala experiencia con la calidad del mueble."
Cuna Evolutiva Rory Arena,"Compramos la cuna Rory para nuestro primer bebé y estamos felices. Que sea evolutiva significa que nos va a durar años. La pintura no tiene olor, eso nos dio mucha tranquilidad.",elogio,1,Cuna Evolutiva Rory Arena,El cliente expresa satisfacción con el producto y destaca características positivas como durabilidad y seguridad.
Mueble Auxiliar Sion Arena,"El mueble bien, pero la página web es muy lenta desde el celular, las fotos de los productos cargan a pedazos y el filtro de precios no funciona en la categoría de auxiliares.",bug,3,Plataforma web,"El feedback describe múltiples fallos técnicos en la plataforma web (lentitud, carga parcial de imágenes, filtro roto), lo que corresponde a un bug con severidad media-alta por afectar la experiencia de compra."
Cama Mini Palermo Queen Roble Santana,"Los señores del armado llegaron 4 horas tarde de la cita y yo pedí permiso en el trabajo. Además dejaron la cama mal nivelada, se mueve toda. Necesito que vuelvan a nivelarla, esta vez puntuales por favor.",queja,4,Logística / Servicio,"El cliente reporta un incumplimiento grave en el servicio de armado (retraso de 4 horas) y un defecto en la instalación que afecta la funcionalidad del producto, lo que justifica una severidad alta."
Sofa 2 Ptos Macarena Negro Idilio Crudo,Decepcionado. A los 20 días la tela del sofá Macarena empezó a hacer motas (pilling) y los cojines ya se ven vencidos. Para ser 'fabricantes con 10 años de garantía' la calidad de la tela deja mucho que desear.,queja,4,Sofa 2 Ptos Macarena Negro Idilio Crudo,"El cliente reporta un defecto de calidad en el producto (pilling y cojines vencidos) dentro del período de garantía, lo que constituye una queja por mala experiencia con el producto."
Silla De Comedor Emilia Avellana Veracruz Crema,Muy contenta con las sillas del comedor. Llegaron perfectas y el descuento del 30% hizo la diferencia. Solo sugiero ampliar el horario de entregas a sábados.,elogio,1,Silla De Comedor Emilia Avellana Veracruz Crema,"El cliente expresa satisfacción con el producto y la entrega, lo que corresponde a un elogio."
Sofá 3 Ptos Olive Calabria Marfil,"En la web el sofá aparece disponible pero después de pagar me llamaron a decir que no hay stock hasta dentro de un mes. Eso es publicidad engañosa. Quiero la devolución del dinero ya, no un bono.",queja,5,Sofá 3 Ptos Olive Calabria Marfil,"El cliente reporta una mala experiencia por falta de stock real después del pago, lo que constituye una queja grave sobre publicidad engañosa y servicio."
Mesa De Noche Sion Avellana,"Divinas las mesas de noche en avellana, compré dos y el tono es uniforme en ambas. Se nota la calidad de fabricante. El 20% de descuento fue el empujón final.",elogio,1,Mesa De Noche Sion Avellana,"El cliente expresa satisfacción con el producto, destacando su calidad y uniformidad, lo que corresponde a un elogio."
Sofacama Multifuncional Houston Trigo,"Buen producto, pero deberían ofrecer financiación directa o pagos a cuotas sin tarjeta de crédito. Casi no logro comprarlo porque no manejo tarjeta. Un convenio con Addi o Sistecrédito ayudaría mucho.",feature_request,3,Sofacama Multifuncional Houston Trigo,"El cliente solicita una mejora en las opciones de pago, lo cual es una sugerencia de funcionalidad (feature request)."
Base Cama Sion Doble,"Buen día. La base cama que me entregaron ayer huele muy fuerte a pegante/laca, me dio dolor de cabeza y tuve que sacarla al balcón. ¿Es normal? ¿Cuánto dura ese olor? ¿No es tóxico para un bebé?",queja,4,Base Cama Sion Doble,"El cliente reporta un fuerte olor químico que le causó dolor de cabeza, lo que indica un posible defecto de fabricación o falta de ventilación del producto, afectando la experiencia y la seguridad (bebé en casa)."
Mesa Comedor Sion Rectangular,"Pésima experiencia. La mesa llegó rayada, pedí el cambio y la segunda llegó con el mismo tipo de rayón en la cubierta. Claramente es un problema de empaque o de bodega. Dos meses perdidos en este proceso.",queja,4,Mesa Comedor Sion Rectangular,"El cliente reporta un producto defectuoso (rayado) y un proceso de cambio fallido, lo que indica una mala experiencia de servicio y logística."
Puff Olive Arena Calabria Marfil,"El puff está bien. La compra fue fácil. Me hubiera gustado más información sobre cómo limpiar la tela Calabria, no venía ninguna guía de cuidado.",feature_request,2,Puff Olive Arena Calabria Marfil,"El cliente solicita información adicional sobre el cuidado del producto, lo que constituye una sugerencia de mejora."
Silla De Terraza Olive Negro,Pedí 6 sillas negras de terraza para mi restaurante y me llegaron 4 negras y 2 crema. Necesito el cambio urgente porque inauguro el sábado. Además quisiera saber si manejan precios al por mayor para negocios.,queja,4,Silla De Terraza Olive Negro,"El cliente reporta un error en el pedido (productos incorrectos) que afecta su negocio con urgencia, lo que constituye una queja de alta severidad."
Silla Reclinable Coral Houston beige,"Cómoda la silla, mi esposo la usa todos los días. Le quito una estrella porque pesa muchísimo y entre dos personas apenas pudimos moverla para limpiar debajo.",queja,2,Silla Reclinable Coral Houston beige,"El cliente expresa una queja sobre el peso excesivo del producto, lo que dificulta su manipulación, aunque no es un defecto crítico."
Cama Nicho Jenny Sencilla Blanco Frente Nuez,Sugerencia: las camas nicho para niños deberían incluir opción de barandas de seguridad y cajones inferiores de almacenamiento. Tocó comprar las barandas por aparte en otra tienda y no combinan.,feature_request,3,Cama Nicho Jenny Sencilla Blanco Frente Nuez,"El cliente sugiere una mejora de producto (incluir barandas y cajones), lo cual es una solicitud de funcionalidad adicional."
Combo Hogar Mérida Arena Ivory,"Hola, me cobraron dos veces el combo Mérida en la tarjeta. En el extracto aparecen dos cargos de $4.990.000 del mismo día. Solo hice una compra. Necesito la reversión de uno de los cargos urgente, es muchísima plata.",queja,5,Logística / Servicio,"El cliente reporta un cobro duplicado, lo cual es un problema grave de servicio/facturación que requiere atención urgente."
Silla De Terraza Olive Ivory,"Compré las Olive ivory para el balcón y quedaron espectaculares. Livianas, fáciles de limpiar y muy cómodas sin cojín. La mejor compra del año para mi apartamento.",elogio,1,Silla De Terraza Olive Ivory,"El cliente expresa satisfacción total con el producto, destacando su calidad y comodidad, lo que constituye un elogio."
Mesa De Noche Sion Arena,"Decepcionada. La mesa llegó a los 25 días, nadie respondía en servicio al cliente y cuando llegó el cajón venía descuadrado. El producto final es bonito pero el proceso fue un dolor de cabeza completo.",queja,4,Mesa De Noche Sion Arena,"El cliente reporta demora en la entrega, falta de respuesta del servicio al cliente y un defecto en el producto (cajón descuadrado), lo que constituye una queja de alta severidad."
Sofá Modular Mini Santorini Verdi Gris,Quiero comprar un módulo adicional para mi Santorini gris pero en la página solo venden el set completo. ¿Venden módulos individuales? Sería muy útil que en la web se pudieran armar configuraciones personalizadas módulo por módulo.,feature_request,2,Sofá Modular Mini Santorini Verdi Gris,"El cliente solicita una mejora en la oferta de productos (módulos individuales) y en la funcionalidad de la web (configuración personalizada), lo que corresponde a una solicitud de funcionalidad."
Cuna Evolutiva Rory Arena,"Bella la cuna y excelente calidad. Cuatro estrellas porque el manual de conversión a cama junior es confuso, tuvimos que buscar un video en YouTube de otra persona para entenderlo.",queja,2,Cuna Evolutiva Rory Arena,"El cliente expresa insatisfacción con la claridad del manual de instrucciones, lo que afecta la experiencia de uso del producto."
Mueble Auxiliar Sion Arena,Todo excelente con el mueble. Una idea: un programa de recompra o descuento por traer el mueble viejo. Tengo muebles que quiero renovar y no sé qué hacer con los antiguos. Iría con su discurso de sostenibilidad.,feature_request,2,Mueble Auxiliar Sion Arena,"El cliente sugiere una nueva funcionalidad (programa de recompra) alineada con sostenibilidad, sin reportar defectos ni quejas."
Sofa 2 Ptos Macarena Negro Idilio Crudo,"Señores Only Home, compré el sofá en la tienda física de la 140 y me dijeron que la entrega era en 5 días. Van 12 días. En la tienda me dicen que llame a la línea, en la línea que escriba al WhatsApp y aquí nadie contesta. ¿Quién responde?",queja,4,Logística / Servicio,"El cliente reporta un retraso significativo en la entrega (12 días vs 5 prometidos) y falta de respuesta en los canales de atención, lo que constituye una queja por mala experiencia de servicio y logística."
Cama Mini Palermo Doble Roble Santana,"La cama Palermo en roble Santana superó las expectativas. Sólida, sin chirridos, y el tono de la madera es cálido y elegante. El armado tomó 40 minutos y quedó perfecta.",elogio,1,Cama Mini Palermo Doble Roble Santana,El cliente expresa satisfacción y elogia la calidad y apariencia del producto.
Silla Auxiliar Olive Calabria Marfil,"Buena compra. La silla es más bonita en persona que en fotos. Sugerencia: la lista de deseos de la web no se sincroniza entre el celular y el computador, perdí mi selección dos veces.",feature_request,3,Plataforma web,"El cliente reporta un problema de sincronización de la lista de deseos, lo cual es una solicitud de mejora técnica en la plataforma web."
Mesa De Terraza Olive Verde,"La mesa de terraza llegó con el vidrio/superficie flojo, se mueve al apoyar cualquier cosa. Revisé y parece que faltan dos soportes de caucho. ¿Me los pueden enviar o debo iniciar proceso de garantía? Pedido #OH-46102.",queja,4,Mesa De Terraza Olive Verde,"El cliente reporta un defecto en el producto recibido (faltan piezas), lo que afecta su funcionalidad y requiere intervención de garantía o envío de repuestos."
Combo Hogar Mérida Arena Ivory,"Compramos el combo Mérida para estrenar apartamento y fue la mejor decisión: todo combina, llegó en una sola entrega y el armado gratis nos ahorró horas. Gran relación calidad-precio comprando en combo.",elogio,1,Combo Hogar Mérida Arena Ivory,"El cliente expresa satisfacción total con el producto, la entrega y el servicio, sin mencionar ningún problema."
Silla De Comedor Emilia Avellana Veracruz Crema,"Las sillas llegaron bien. Comentario sobre la web: el comparador de productos es confuso y no muestra las medidas lado a lado, que es justo lo que uno quiere comparar en sillas y mesas.",feature_request,3,Plataforma web,"El cliente solicita una mejora en el comparador de productos para mostrar medidas lado a lado, lo cual es una sugerencia de funcionalidad."
Silla Reclinable Coral Houston beige,"Hola, compré la silla reclinable hace 8 días y hoy la veo con 10% adicional de descuento en la página. ¿Aplican ajuste de precio retroactivo? Me parece injusto, si hubiera esperado me ahorraba más de 300 mil pesos.",queja,3,Silla Reclinable Coral Houston beige,"El cliente expresa insatisfacción por la falta de ajuste de precio tras una reducción, lo cual es una queja sobre la política de precios y la experiencia de compra."
Sofá 3 Ptos Olive Calabria Marfil,Experiencia 10/10. Desde la asesoría por WhatsApp hasta el armado todo fue impecable. Se nota el orgullo de ser fabricantes. El sofá Olive es el protagonista de mi sala. Seguiré comprando con ustedes.,elogio,1,Sofá 3 Ptos Olive Calabria Marfil,El feedback expresa una experiencia completamente positiva y satisfacción con el producto y servicio.
Sofá Modular Mini Santorini Verdi Ivory,"Hola, compré el sofá modular Santorini hace 3 semanas y todavía no me llega. En la página decía entrega de 8 a 10 días hábiles. Nadie me responde el estado del pedido #OH-45821. Necesito una respuesta hoy por favor.",queja,4,Logística / Servicio,"El cliente reporta un retraso significativo en la entrega y falta de respuesta sobre el estado del pedido, lo que constituye una queja por mala experiencia logística y de servicio."
Silla De Terraza Olive Verde,"Hermosas las sillas de la colección Olive, el color verde es idéntico al de las fotos. Llegaron antes de lo prometido y muy bien empacadas. Ya pedí la mesa de terraza para completar el set.",elogio,1,Silla De Terraza Olive Verde,"El cliente expresa satisfacción con el producto, la entrega y el empaque, lo que constituye un feedback positivo."
Cama Mini Palermo Doble Roble Santana,"La cama es preciosa y el armado gratis fue rapidísimo, los técnicos muy amables. Solo mejoraría que avisen la franja horaria de entrega con más anticipación.",elogio,1,Cama Mini Palermo Doble Roble Santana,"El feedback es mayoritariamente positivo, destacando la calidad del producto y el servicio de armado, con una sugerencia menor sobre la anticipación del aviso de entrega."
Sofacama Multifuncional Houston Trigo,El sofacama llegó con una pata rota y la tela del asiento tiene una mancha. Pagué casi 2 millones y medio. Exijo cambio inmediato o devolución del dinero. Adjunto fotos. Pedido #OH-45610.,queja,5,Sofacama Multifuncional Houston Trigo,"El cliente reporta un producto dañado (pata rota y mancha) y exige cambio o reembolso, lo que constituye una queja de alta severidad por defecto físico y posible falla logística."
Mesa De Noche Sion Arena,"Linda mesa de noche, buen acabado de la madera. Le quito una estrella porque el cajón quedó un poco duro al deslizar, toca empujarlo con fuerza.",queja,2,Mesa De Noche Sion Arena,"El cliente reporta un defecto funcional leve en el producto (cajón duro), lo que constituye una queja sobre la calidad del mueble."
Silla De Comedor Emilia Avellana Veracruz Crema,Las sillas están bien pero me gustaría que ofrecieran más opciones de tela. Solo había crema y mi comedor es oscuro. Sería genial poder personalizar el tapizado al hacer el pedido.,feature_request,2,Silla De Comedor Emilia Avellana Veracruz Crema,"El cliente solicita explícitamente más opciones de tela y personalización del tapizado, lo cual es una sugerencia de mejora del producto."
Combo Hogar Mérida Arena Ivory,Intenté pagar el combo del mes con PSE tres veces y la página me saca error al final del checkout. El carrito se vacía y toca empezar de cero. Ya lo intenté en celular y computador. ¿Me pueden ayudar? No quiero perder el descuento.,bug,4,Plataforma web,"El cliente reporta un error recurrente en el checkout con PSE que impide completar la compra, lo cual es un defecto de la plataforma web con alta severidad por pérdida de descuento y frustración."
Silla Reclinable Coral Houston beige,"La silla reclinable es lo máximo, súper cómoda para teletrabajar y ver TV. El mecanismo reclinable se siente firme y de calidad. Vale cada peso.",elogio,1,Silla Reclinable Coral Houston beige,"El feedback es completamente positivo, destacando comodidad y calidad del producto."
Cuna Evolutiva Rory Arena,"La cuna evolutiva es espectacular, se nota que son fabricantes porque la madera es de excelente calidad. Me encantó que usan maderas cultivadas. Ya la recomendé a dos amigas embarazadas.",elogio,1,Cuna Evolutiva Rory Arena,"El cliente expresa una opinión muy positiva sobre la calidad del producto y lo recomienda, lo que corresponde a un elogio."
